,neighborhood,neighborhood_id,city_id
751,حي المنيزلة,1630,46
752,حي البساتين,2070,6
753,حي الاندلس,986,8
754,حي الاندلس,876,43
755,حي حي الشرفة,4388,96
756,حي خب القصبا,2392,52
757,حي العدامة,1256,18
758,حي الفيحاء,1002,8
759,حي الوشم,956,82
760,حي الشفاء,332,17
761,حي الاراك,140,65
762,حي المعذر,558,21
763,حي الجلده,2480,91
764,حي النابية,1852,80
765,حي المجد,2450,78
766,حي الهضيبة,2888,59
767,حي النزهة,1170,15
768,حي النزهة,290,13
769,حي المعارض,978,89
770,حي العانبس,2990,41
771,حي الاشرفية,2464,91
772,حي الملك فهد,54,2
773,حي القصيعة,2342,52
774,حي الفيصلية,910,63
775,حي الجامعة,3464,66
776,حي الصناعية,490,21
777,حي الاسكان,394,21
778,حي بترومين,2892,59
779,حي النهضة,756,22
780,حي الجنادرية,4092,92
781,حي العريمضي,2330,52
782,حي اليرموك,2166,20
783,حي الفنار,1268,18
784,حي السلمانية الشمالية,1564,46
785,حي الدانة الشمالية,1340,27
786,حي النهضة,2886,59
787,حي الصفا,32,2
788,حي الفيصلية الجنوبية,2868,59
789,حي الخليج,1216,18
790,حي الملك خالد,2158,20
791,حي اليمامة,760,22
792,حي الوسطى,2610,91
793,حي السيح,738,22
794,حي الخالدية,1540,46
795,حي الشفا,3522,66
796,حي الموطا,2360,52
797,حي الخالدية,256,13
798,حي الخاتم,2948,41
799,حي الحديقة,2944,41
800,حي الغراء,214,84
801,حي وسط المدينة,4436,5
802,حي السمراء,2034,67
803,حي الهدا,1112,12
804,حي السلامة,4104,92
805,حي الشاطئ,1150,15
806,حي النهضة,2454,78
807,حي القادسية,1274,18
808,حي السليمانية,270,13
809,حي الراية,2962,41
810,حي صناعية الثقبة,1116,12
811,حي المدينة,1694,54
812,حي جرية العمران وخب الثنيان,2380,52
813,حي السلام,736,22
814,حي الحزيمية,878,43
815,حي المطار,2578,91
816,حي الناصرية,594,21
817,حي الاصفر,964,89
818,حي بني حارثة,3038,41
819,حي الفيحاء,1822,74
820,حي الدريدي,1876,85
821,حي الامن,2264,52
822,حي الخالدية,3402,61
823,حي المناخ,1728,58
824,حي ابو بريقاء,2922,41
825,حي العليا,2332,52
826,حي العود,512,21
827,حي النخيل,1296,18
828,حي الوبرة,3032,41
829,حي المصيف,2576,91
830,حي الشرقية,3328,26
831,حي العزيزية,4036,70
832,حي رح صعبة,76,2
833,حي الظبيه,208,84
834,حي الزهرة,1560,46
835,حي الجندل,2134,20
836,حي المنتزة,1824,74
837,حي الزاهر,3720,94
838,حي دارين,1018,8
839,حي الجميزة,3698,94
840,حي شباعة,4074,70
841,حي ذو الحليفة,3058,41
842,حي الحشيبرية,190,84
843,حي السليمانية,1768,68
844,حي المصيف,806,30
845,حي السلام,1148,15
846,حي الرونة,200,84
847,حي الوصايف,3830,1
848,حي السنبلة,362,19
849,حي الخالدية,1752,68
850,حي البلد,4090,92
851,حي الجرادية,172,83
852,حي مخطط غرب المزارع,1028,8
853,حي الصالحية,2534,91
854,حي قرطبة,2252,42
855,حي خب الكيفة,2394,52
856,حي الاندلس,2418,78
857,حي جامعة الملك سعود,658,21
858,حي الخالدية,2110,7
859,حي النزهة,1634,46
860,حي الفتح,3006,41
861,حي المنتزة,2586,91
862,حي البديع,1200,18
863,حي العليا,2864,59
864,حي الباطن,1744,68
865,حي ام سليم,644,21
866,حي النخيل,3026,41
867,حي الروضة,946,82
868,حي الصفاء,1772,68
869,حي ابن خلدون,1178,18
870,حي سكن المدينة العسكرية,4072,70
871,حي الفوطة,524,21
872,حي الجوهرة,2482,91
873,حي المتنزهات,3574,66
874,حي سكن القاعدة الجوية,4070,70
875,حي السعيدان,326,17
876,حي السرورية,3506,66
877,حي الهداء,2604,91
878,حي جامعة الملك عبدالعزيز,3636,66
879,حي الخليج,3874,39
880,حي النور,616,21
881,حي النسيم,2366,52
882,حي شمال الفهد,4396,96
883,حي الزهراء,3722,94
884,حي اسكان الدمام,1182,18
885,حي الغماس,2334,52
886,حي نبعه,2254,42
887,حي الصباخ,2318,52
888,حي العماجية,508,21
889,حي الدوحة,4012,70
890,حي نجد,1034,8
891,حي اليرموك,1176,15
892,حي جامعة الامام محمد بن سعود الاسلامية,654,21
893,حي الملك فهد,2696,72
894,حي المنصورة,284,13
895,حي النصار,2368,52
896,حي ثليم,652,21
897,حي مرخ,776,22
898,حي الرويعيات,2846,59
899,حي النايفية,1790,68
900,حي العيون,3000,41
901,حي المروج,2872,59
902,حي البصرة,4088,92
903,حي الحجون,3700,94
904,حي وعيرة,3090,41
905,حي السادة,2308,52
906,حي الحويقية,2288,52
907,حي المنيفية,286,13
908,حي الروغاني,2512,91
909,حي البشائر,142,65
910,حي الراعب,4426,5
911,حي الورود,1642,46
912,حي الربوة,2140,20
913,حي الدويمة,2958,41
914,حي العزيزية,1776,68
915,حي الصالحية,1580,46
916,حي الوادي,2608,91
917,حي الدفاع,430,21
918,حي التعاون,3980,60
919,حي الفردوس,216,84
920,حي الصمد,3660,73
921,حي النموذجية,612,21
922,حي السيح,2980,41
923,حي القادسية,2558,91
924,حي المطار,1696,54
925,حي الفضل,3550,66
926,حي القبلتين,3008,41
927,حي المها,1110,12
928,حي المضايا,52,2
929,حي وهطان,2414,52
930,حي ام خالد,3034,41
931,حي السلام,360,19
932,حي عروة,3070,41
933,حي الشهداء الجنوبية,3330,26
934,حي النقع الغربية,2372,52
935,حي الخالدية,322,17
936,حي الحويلات,992,8
937,حي ابن خلدون,2104,7
